"ID","Age","Sex","hemisphere","stg_mtg","weight","species"
"1",34,"M","L","stg",10947.6584,"xchimp"
"2",47,"F","L","stg",218538.2831,"xchimp"
"3",30,"M","L","stg",354166.8332,"xchimp"
"4",13,"F","L","stg",1695761.523,"xchimp"
"5",40,"F","L","stg",306470.5111,"xchimp"
"6",44,"F","L","stg",1074706.897,"xchimp"
"7",43,"F","L","stg",97432.78085,"xchimp"
"8",15,"M","L","stg",6532.381998,"xchimp"
"9",45,"M","L","stg",92010.72386,"xchimp"
"10",52,"M","L","stg",141723.3627,"xchimp"
"11",10,"M","L","stg",18040.57592,"xchimp"
"12",12,"M","L","stg",82783.08026,"xchimp"
"13",18,"M","L","stg",4758.474576,"xchimp"
"14",45,"M","L","stg",1195462.623,"xchimp"
"15",36,"M","L","stg",39118.11812,"xchimp"
"16",56,"F","L","stg",62154.38596,"xchimp"
"17",41,"F","L","stg",634838.4279,"xchimp"
"18",61,"M","L","stg",888772.6872,"xchimp"
"19",46,"M","L","stg",712771.2871,"xchimp"
"20",11,"F","L","stg",7476.590636,"xchimp"
"1",34,"M","R","stg",68455.09499,"xchimp"
"2",47,"F","R","stg",264366.242,"xchimp"
"4",13,"F","R","stg",1678409.009,"xchimp"
"5",40,"F","R","stg",285179.558,"xchimp"
"6",44,"F","R","stg",238738.764,"xchimp"
"7",43,"F","R","stg",13026.93878,"xchimp"
"8",15,"M","R","stg",1186.934673,"xchimp"
"9",45,"M","R","stg",86877.57576,"xchimp"
"10",52,"M","R","stg",58980.78975,"xchimp"
"11",10,"M","R","stg",3811.279826,"xchimp"
"12",12,"M","R","stg",43440.52863,"xchimp"
"13",18,"M","R","stg",38720.09569,"xchimp"
"14",45,"M","R","stg",1115124.378,"xchimp"
"15",36,"M","R","stg",51436.24161,"xchimp"
"16",56,"F","R","stg",332236,"xchimp"
"17",41,"F","R","stg",843949.9341,"xchimp"
"18",61,"M","R","stg",29768.13075,"xchimp"
"19",46,"M","R","stg",1073546.791,"xchimp"
"20",11,"F","R","stg",639653.4268,"xchimp"
"1",34,"M","L","mtg",97.33700643,"xchimp"
"2",47,"F","L","mtg",8215.777262,"xchimp"
"3",30,"M","L","mtg",8270.729271,"xchimp"
"4",13,"F","L","mtg",169803.6072,"xchimp"
"5",40,"F","L","mtg",7433.813893,"xchimp"
"6",44,"F","L","mtg",139827.5862,"xchimp"
"7",43,"F","L","mtg",25179.55801,"xchimp"
"8",15,"M","L","mtg",37.32162459,"xchimp"
"9",45,"M","L","mtg",532.1715818,"xchimp"
"10",52,"M","L","mtg",0.977517107,"xchimp"
"11",10,"M","L","mtg",31.41361257,"xchimp"
"12",12,"M","L","mtg",112636.6594,"xchimp"
"13",18,"M","L","mtg",149.1525424,"xchimp"
"14",45,"M","L","mtg",1308889.986,"xchimp"
"15",36,"M","L","mtg",368.3683684,"xchimp"
"16",56,"F","L","mtg",3390.643275,"xchimp"
"17",41,"F","L","mtg",48478.89374,"xchimp"
"18",61,"M","L","mtg",138469.6035,"xchimp"
"19",46,"M","L","mtg",13119.80198,"xchimp"
"20",11,"F","L","mtg",152.4609844,"xchimp"
"1",34,"M","R","mtg",10.3626943,"xchimp"
"2",47,"F","R","mtg",2502.123142,"xchimp"
"4",13,"F","R","mtg",286690.0901,"xchimp"
"5",40,"F","R","mtg",4998.618785,"xchimp"
"6",44,"F","R","mtg",1585.674157,"xchimp"
"7",43,"F","R","mtg",170.6122449,"xchimp"
"8",15,"M","R","mtg",97.48743719,"xchimp"
"9",45,"M","R","mtg",1916.363636,"xchimp"
"10",52,"M","R","mtg",35.21878335,"xchimp"
"11",10,"M","R","mtg",0.1,"xchimp"
"12",12,"M","R","mtg",35736.78414,"xchimp"
"13",18,"M","R","mtg",53.8277512,"xchimp"
"14",45,"M","R","mtg",483789.801,"xchimp"
